Sender ID,Max of Date Created,Recency,frequency,monetary,Average of Total Amount
23372,07/09/2021,946,16,95500,5968.75
23378,29/05/2019,1778,1,8000,8000
23393,28/09/2019,1656,2,10000,5000
23395,18/09/2022,570,15,118495,7899.666667
23402,19/10/2019,1635,1,10000,10000
23440,17/12/2020,1210,5,18555.42,3711.084
23501,20/07/2020,1360,2,13555,6777.5
23523,23/09/2019,1661,2,8736.49,4368.245
23534,19/06/2023,296,3,18001,6000.333333
23565,26/04/2019,1811,1,9025,9025
23591,09/07/2019,1737,2,9200,4600
23593,13/10/2020,1275,11,40676.93,3697.902727
23594,14/02/2019,1882,2,14466,7233
23609,09/12/2020,1218,2,9053.63,4526.815
23727,18/10/2022,540,15,72210.98,4814.065333
23735,17/09/2023,206,3,15051,5017
23789,05/01/2020,1557,2,10000,5000
23813,13/08/2020,1336,1,8000,8000
23818,22/04/2020,1449,1,6000,6000
23827,04/01/2020,1558,2,13892,6946
23866,19/10/2020,1269,5,18693,3738.6
23873,26/05/2020,1415,3,27999,9333
23893,24/09/2022,564,2,13000,6500
23905,06/02/2021,1159,8,42713.99,5339.24875
23918,24/12/2022,473,10,42010,4201
23945,20/07/2019,1726,2,9950,4975
24055,27/07/2021,988,5,28950,5790
